Settore storico pe;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Superficie somministrazione
"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFF�";;"VIA DELL' ALLODOLA N. 5 ; isolato:049; (z.d. 6)";VIA;DELL' ALLODOLA;5;6660;6;;;;40
"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Bar gastronomici e simili;Tavola fredda";universita bicocca pal.u6;"VLE SARCA N. 202 c/o univ.degli studi di milano; accesso: accesso interno; (z.d. 9)";VLE;SARCA;202;1427;9;solo somministrazione;somministrazione;al banco;328
"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Sale da ballo, locali notturni";night club gatto verde;"VIA SCARLATTI DOMENICO N. 32 ; isolato:030; accesso: accesso esterno; (z.d. 2)";VIA;SCARLATTI DOMENICO;32;2136;2;solo somministrazione;somministrazione;al tavolo;180
"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda";;"PLE LUGANO N. 21 c/o bar pp tt; isolato:092; accesso: accesso interno; (z.d. 9)";PLE;LUGANO;21;1238;9;solo somministrazione;somministrazione;al banco;123
"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda";;"PZA SANT' EUFEMIA N. 1 c/o circolo ras;pza sant' eufemia 001; isolato:271; accesso: accesso interno; (z.d. 1)";PZA;SANT' EUFEMIA;1;406;1;solo somministrazione;somministrazione;al banco;45
"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Sale da gioco;BAR CAFF�;Tavola fredda";;"VIA GULLI TOMMASO N. 9 ; isolato:198; (z.d. 7)";VIA;GULLI TOMMASO;9;6634;7;;;;220
"Prodotti di gastronomia;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.";;"VIA BELLEZZA GIOVANNI N. 16 c/o circolo arci bellezza; isolato:120; accesso: accesso interno; (z.d. 5)";VIA;BELLEZZA GIOVANNI;16;4067;5;solo somministrazione;somministrazione;al banco;80
"Prodotti di gastronomia;Gioco video;Bigliardino elettrico;Tavola fredda;BAR CAFF�";a.c.m. crescenzago;"VIA TRASIMENO N. 25 int. campo sportivo; isolato:084; accesso: area ap.rec.; (z.d. 2)";VIA;TRASIMENO;25;2411;2;solo somministrazione;somministrazione;al banco;56
"Prodotti di gastronomia;Sale da ballo, locali notturni;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda;Discoteche,sale ballo notturni";;"VIA GOLA EMILIO N. 4 ; isolato:075; accesso: accesso esterno; (z.d. 6)";VIA;GOLA EMILIO;4;5154;6;solo somministrazione;somministrazione;al banco;141
"Prodotti di gastronomia;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFF�";;"VLE TORELLI LUIGI N. 6 c/o impianto sportivo; (z.d. 9)";VLE;TORELLI LUIGI;6;1232;9;;;;25
Ristorante;;VIA CASTALDI PANFILO N. 19 (z.d. 3);VIA;CASTALDI PANFILO;19;2119;3;;;;130
Ristorante;;"VIA DEGLI OMENONI N. 3 c/o circolo clubino dadi;via degli omenoni 003; isolato:382; accesso: accesso interno; (z.d. 1)";VIA;DEGLI OMENONI;3;233;1;solo somministrazione;somministrazione;al banco;550
Ristorante;;"VIA GIUSTI GIUSEPPE N. 16 interno circolo a. volta; (z.d. 1)";VIA;GIUSTI GIUSEPPE;16;7127;1;;;;110
Ristorante;;"VIA GOLA EMILIO N. 4 affiliato c.s.a.in.; (z.d. 6)";VIA;GOLA EMILIO;4;5154;6;;;;70
Ristorante;;"VIA LECCO N. 6 ; isolato:130; (z.d. 3)";VIA;LECCO;6;2110;3;solo somministrazione;somministrazione;;98
Ristorante;;"VIA PANIZZA BARTOLOMEO N. 10 ; isolato:242; accesso: accesso esterno; (z.d. 7)";VIA;PANIZZA BARTOLOMEO;10;6208;7;solo somministrazione;somministrazione;misto;108
Ristorante;;"VIA SCHIAPARELLI GIOVANNI N. 1 c/o circolo calabrese di milan; isolato:202; accesso: accesso interno; (z.d. 2)";VIA;SCHIAPARELLI GIOVANNI;1;1211;2;somministrazione/minuto;minuto;al banco;98
Ristorante;;"VIA VALPETROSA N. 5 c/o ass. krishna;via valpetrosa 005; isolato:441; accesso: accesso interno; (z.d. 1)";VIA;VALPETROSA;5;650;1;solo somministrazione;somministrazione;al tavolo;64
Ristorante;;"VIA VALVASSORI PERONI CARLO N. 85 ; isolato:084; accesso: accesso interno; (z.d. 3)";VIA;VALVASSORI PERONI CARLO;85;2580;3;solo somministrazione;somministrazione;misto;98
Ristorante;;"VLE FAMAGOSTA N. 48 ; isolato:078; accesso: accesso interno; (z.d. 6)";VLE;FAMAGOSTA;48;5353;6;solo somministrazione;somministrazione;misto;110
Ristorante;pensionato;"VIA TERRAGNI GIUSEPPE N. 36 convitto; isolato:094; accesso: accesso interno; (z.d. 8)";VIA;TERRAGNI GIUSEPPE;36;6445;8;solo somministrazione;somministrazione;al tavolo;176
"Ristorante;BAR CAFF�";;"VIA CASATI FELICE N. 45 ; isolato:094; accesso: accesso esterno; (z.d. 2)";VIA;CASATI FELICE;45;2122;2;solo somministrazione;somministrazione;al banco;89
"Ristorante;BAR CAFF�";;"VIA RIPAMONTI GIUSEPPE N. 286 associazione la traccia; isolato:179; accesso: accesso interno; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;286;4066;5;solo somministrazione;somministrazione;al banco;465
"Ristorante;BAR CAFF�";;"VLE TUNISIA N. 9 ; isolato:123; accesso: accesso interno; (z.d. 3)";VLE;TUNISIA;9;2121;3;solo somministrazione;somministrazione;al tavolo;35
"Ristorante;BAR CAFF�;Carte;Biliardo;Tavola fredda";;"VIA MONTECUCCOLI RAIMONDO N. 27 c/o circolo religioso noam; isolato:026; accesso: accesso interno; (z.d. 6)";VIA;MONTECUCCOLI RAIMONDO;27;6650;6;solo somministrazione;somministrazione;al banco;203
"Ristorante;BAR CAFF� E SIMILI;Wine,birr.,pub enot.,caff.,the;Ristorante, trattoria, osteria;BAR CAFF�;Tavola fredda;Genere Merceol.Autorizz.Sanit.";harry s bar scala;"VLE DELL' INNOVAZIONE num.000 c/o teatro degli arcimboldi; accesso: accesso esterno; (z.d. 9)";VLE;DELL' INNOVAZIONE;;1731;9;solo somministrazione;somministrazione;misto;168
"Ristorante;BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"VIA ARIMONDI GIUSEPPE N. 15 c/o tennis club bonacossa; isolato:326; accesso: accesso interno; (z.d. 8)";VIA;ARIMONDI GIUSEPPE;15;7179;8;solo somministrazione;somministrazione;misto;197
"Ristorante;BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"VIA DEL FUSARO N. 10 ; isolato:262; (z.d. 7)";VIA;DEL FUSARO;10;6258;7;;;;120
"Ristorante;BAR CAFF�;Genere Merceol.Autorizz.Sanit.;BAR CAFF� E SIMILI;Ristorante, trattoria, osteria";ris.int.circolo de amicis;"VIA DE AMICIS EDMONDO N. 17 int.circolo cultur. i navigli;via de amicis edmondo 017; isolato:128; accesso: accesso interno; (z.d. 1)";VIA;DE AMICIS EDMONDO;17;574;1;solo somministrazione;somministrazione;self service;177
"Ristorante;BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;BAR CAFF� E SIMILI;Pizzeria;Ristorante, trattoria, osteria";;"VIA CASSINIS GIOVANNI BATTISTA N. 23 interno palestra; isolato:071; accesso: accesso interno; (z.d. 4)";VIA;CASSINIS GIOVANNI BATTISTA;23;4309;4;solo somministrazione;somministrazione;misto;148
"Ristorante;BAR CAFF�;Tavola fredda";;"PLE CIMITERO MAGGIORE N. 18 circolo arci la torchiera; isolato:139; accesso: accesso esterno; (z.d. 8)";PLE;CIMITERO MAGGIORE;18;7442;8;solo somministrazione;somministrazione;self service;34
"Ristorante;Genere Merceol.Autorizz.Sanit.";;"VIA LODOVICO IL MORO N. 117 ; isolato:024; accesso: accesso esterno; (z.d. 6)";VIA;LODOVICO IL MORO;117;5290;6;solo somministrazione;somministrazione;al tavolo;280
"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFF�";;"VIA LIVIGNO N. 6 associaz. punto d'incontro e'; isolato:087; (z.d. 9)";VIA;LIVIGNO;6;1296;9;;;;239
"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Discoteche,sale ballo notturni";wall street;"CSO BUENOS AIRES N. 33 ; isolato:059; accesso: accesso interno; (z.d. 3)";CSO;BUENOS AIRES;33;2129;3;solo somministrazione;somministrazione;misto;273
"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda;Ristorante, trattoria, osteria";;"VIA MILAZZO N. 9 interno cinema anteo; isolato:005; accesso: accesso interno; (z.d. 1)";VIA;MILAZZO;9;1034;1;solo somministrazione;somministrazione;al banco;114
"Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";ristorante bonola;"VIA QUARENGHI GIACOMO N. 23 int. centro commerciale bonola; isolato:300; accesso: accesso esterno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;solo somministrazione;somministrazione;self service;108
"Ristorante;Mensa";;"VIA OLGETTINA N. 60 c/o fondazione san raffaele del mont tabor, (free flow); (z.d. 3)";VIA;OLGETTINA;60;2530;3;;;;957
"Ristorante;Pizzeria;BAR CAFF�";;"VIA AIRAGHI GAETANO N. 61 int. campeggio citta'di milano; isolato:015; (z.d. 7)";VIA;AIRAGHI GAETANO;61;6330;7;;;;393
"Ristorante;Sale da ballo, locali notturni;BAR CAFF�;Discoteche,sale ballo notturni;Licenza giochi leciti/elettr..;Ristorante, trattoria, osteria";discoteca rendez vous;"VIA MARCO D'AGRATE N. 14 ; isolato:115; accesso: accesso esterno; (z.d. 5)";VIA;MARCO D'AGRATE;14;4276;5;solo somministrazione;somministrazione;misto;52
"Ristorante;Sale da ballo, locali notturni;BAR CAFF�;Genere Merceol.Autorizz.Sanit.";cafe l atlantique;"VLE UMBRIA N. 42 (interno sala da ballo); isolato:144; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;42;3145;4;solo somministrazione;somministrazione;misto;589
"Ristorante;Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.";mcdonald s;"VIA QUARENGHI GIACOMO N. 23 int. centro commerciale bonola; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;solo somministrazione;somministrazione;self service;252
"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFF�";skorpion center;"CSO VITTORIO EMANUELE II N. 24 (interno skorpion center);cso vittorio emanuele ii 024; isolato:360; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;24;214;1;solo somministrazione;somministrazione;al banco;87
"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Wine,birr.,pub enot.,caff.,the;BAR CAFF� E SIMILI";;VIA FELTRE N. 30 (z.d. 3);VIA;FELTRE;30;2652;3;;;;
"Ristorante, trattoria, osteria;Mensa";;"VIA FORCELLA VINCENZO N. 13 c/o superstudio group; (z.d. 6)";VIA;FORCELLA VINCENZO;13;5127;6;;;;
"Ristorante, trattoria, osteria;Mensa";;"VIA PAOLO DA CANNOBIO N. 11 mensa gestione diretta;via paolo da cannobio 011; isolato:393; (z.d. 1)";VIA;PAOLO DA CANNOBIO;11;338;1;;;;50
"Ristorante, trattoria, osteria;Mensa";int.ist.cultura marcellin;"VIA QUADRONNO N. 15 c/o ist. di cultura e lingue m; isolato:206; accesso: accesso interno; (z.d. 1)";VIA;QUADRONNO;15;4021;1;solo somministrazione;somministrazione;self service;44
"Ristorante, trattoria, osteria;Mensa";svizzera di milano;"VIA APPIANI ANDREA N. 21 c/o scuola svizzera di milano; isolato:010; (z.d. 1)";VIA;APPIANI ANDREA;21;1050;1;;;;
Sale da ballo, locali notturni;;"VIA ALSERIO N. 5 interno discoteca  life club; (z.d. 9)";VIA;ALSERIO;5;1153;9;;;;26
"Sale da ballo, locali notturni;BAR CAFF�;Gioco video";;"VIA RICCIARELLI DANIELE N. 11 ; isolato:292; accesso: accesso esterno; (z.d. 7)";VIA;RICCIARELLI DANIELE;11;6553;7;solo somministrazione;somministrazione;al banco;880
"Sale da ballo, locali notturni;BAR CAFF�;Tavola fredda";;PLE MEDAGLIE D'ORO N. 2 (z.d. 5);PLE;MEDAGLIE D'ORO;2;4104;5;;;;
"Sale da ballo, locali notturni;Cibi cotti preconfezionati;BAR CAFF�";;"VIA TAJANI FILIPPO N. 11 ; isolato:165; accesso: accesso esterno; (z.d. 3)";VIA;TAJANI FILIPPO;11;3235;3;solo somministrazione;somministrazione;al banco;140
"Sale da ballo, locali notturni;Genere Merceol.Autorizz.Sanit.;BAR CAFF�";;"VIA BESENZANICA ERNESTO N. 3 ; isolato:196; accesso: accesso esterno; (z.d. 7)";VIA;BESENZANICA ERNESTO;3;6608;7;solo somministrazione;somministrazione;al banco;150
"Sale da ballo, locali notturni;Tavola fredda;BAR CAFF�;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";zelig area;"VLE MONZA N. 140 ; isolato:173; accesso: accesso interno; (z.d. 2)";VLE;MONZA;140;2274;2;solo somministrazione;somministrazione;misto;60
"Sale da ballo, locali notturni;Tavola fredda;Elettr.Automatici Meccaniche;Tavola calda;BAR CAFF�";;"VIA SFORZA ASCANIO N. 81 ; isolato:001; accesso: accesso interno; (z.d. 5)";VIA;SFORZA ASCANIO;81;5201;5;solo somministrazione;somministrazione;misto;313
Sale da gioco;;VIA ANDO' FLAVIO N. 2 (z.d. 8);VIA;ANDO' FLAVIO;2;7283;8;;;;
"Sale da gioco;Stab.baln. e impianti sportivi;Genere Merceol.Autorizz.Sanit.;Pizzeria;Ristorante;BAR CAFF�";bowling da willy;"VIA RENZO E LUCIA num.004 (int. sala giochi bowling); isolato:080; accesso: accesso esterno; (z.d. 5)";VIA;RENZO E LUCIA;;5412;5;solo somministrazione;somministrazione;misto;280
"Seconda bottiglia;Sale da ballo, locali notturni;Discoteche,sale ballo notturni;Genere Merceol.Autorizz.Sanit.";ragno d oro;"PLE MEDAGLIE D'ORO N. 2 ; isolato:092; accesso: accesso esterno; (z.d. 5)";PLE;MEDAGLIE D'ORO;2;4104;5;solo somministrazione;somministrazione;;550
Spaccio bevande analcoliche;;"codvia 1413 ; (z.d. 2)";VLE;UMBRIA;42;3145;4;;;;
Spaccio bevande analcoliche;;"CSO BUENOS AIRES N. 33 int. cinema fiammetta; isolato:059; accesso: accesso interno; (z.d. 3)";CSO;BUENOS AIRES;33;2129;3;solo somministrazione;somministrazione;al banco;5
Spaccio bevande analcoliche;;"CSO BUENOS AIRES N. 36 int. cinema astor; isolato:079; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;36;2129;3;solo somministrazione;somministrazione;al banco;11
Spaccio bevande analcoliche;;"CSO VITTORIO EMANUELE II N. 28 int. cinema pasquirolo;cso vittorio emanuele ii 028; isolato:360; accesso: accesso interno; (z.d. 1)";CSO;VITTORIO EMANUELE II;28;214;1;solo somministrazione;somministrazione;al banco;5
Spaccio bevande analcoliche;;"GLL DEL CORSO N. 1 int. cinema ariston;gll del corso 001; isolato:360; accesso: accesso interno; (z.d. 1)";GLL;DEL CORSO;1;305;1;solo somministrazione;somministrazione;al banco;12
Spaccio bevande analcoliche;;"GLL DEL CORSO N. 1 int. cinema corso;gll del corso 001; isolato:360; accesso: accesso interno; (z.d. 1)";GLL;DEL CORSO;1;305;1;solo somministrazione;somministrazione;al banco;17
Spaccio bevande analcoliche;;"LGO CORSIA DEI SERVI N. 3 int. cinema corallo;lgo corsia dei servi 003; isolato:360; accesso: accesso interno; (z.d. 1)";LGO;CORSIA DEI SERVI;3;234;1;solo somministrazione;somministrazione;al banco;5
Spaccio bevande analcoliche;;"PZA CAVOUR N. 1 cinema cavour;pza cavour 001; isolato:093; accesso: accesso interno; (z.d. 1)";PZA;CAVOUR;1;237;1;solo somministrazione;somministrazione;al banco;4
Spaccio bevande analcoliche;;"VIA CAMINADELLA N. 15 int. cinema de amicis;via caminadella 015; isolato:278; accesso: accesso interno; (z.d. 1)";VIA;CAMINADELLA;15;551;1;solo somministrazione;somministrazione;al banco;5
Spaccio bevande analcoliche;;"VIA CESANA BRUNO N. 3 ; isolato:179; accesso: accesso interno; (z.d. 2)";VIA;CESANA BRUNO;3;2374;2;solo somministrazione;somministrazione;al banco;20
Spaccio bevande analcoliche;;"VIA FARINI CARLO N. 17 c/o parrocchia s. antonio da p; isolato:069; accesso: accesso interno; (z.d. 8)";VIA;FARINI CARLO;17;1114;8;solo somministrazione;somministrazione;al banco;50
Spaccio bevande analcoliche;;"VIA VITRUVIO N. 10 int. cinema impero; isolato:043; accesso: accesso interno; (z.d. 3)";VIA;VITRUVIO;10;2134;3;solo somministrazione;somministrazione;al banco;7
Spaccio bevande analcoliche;;"VLE VITTORIO VENETO N. 2 ; isolato:137; accesso: accesso esterno; (z.d. 3)";VLE;VITTORIO VENETO;2;2107;3;solo somministrazione;somministrazione;al banco;8
"Spaccio bevande analcoliche;Genere Merceol.Autorizz.Sanit.;Tavola fredda";c/o i.t.c.s. custodi;"VIA DINI ULISSE N. 7 c/o i.t.c.s. custodi; isolato:057; accesso: accesso interno; (z.d. 5)";VIA;DINI ULISSE;7;5436;5;solo somministrazione;somministrazione;al banco;16
"Spaccio bevande analcoliche;Tavola calda";;"VIA CRESCENZAGO N. 110 c/o i.t.i.s. ettore molinari; isolato:037; (z.d. 3)";VIA;CRESCENZAGO;110;2396;3;;;;54
"Spaccio bevande analcoliche;Tavola fredda";;"VIA ASSIETTA N. 48 c/o bar gruppo sport. afforese; isolato:139; accesso: accesso interno; (z.d. 9)";VIA;ASSIETTA;48;1540;9;solo somministrazione;somministrazione;misto;49
"Spaccio bevande analcoliche;Tavola fredda";;"VIA DE VINCENTI ANGELO N. 7 c/o l.s. vittorio veneto; isolato:204; (z.d. 7)";VIA;DE VINCENTI ANGELO;7;6134;7;;;;40
"Spaccio bevande analcoliche;Tavola fredda";;"VIA LOMBROSO CESARE N. 54 int.ortomercato passag. pad. d; (z.d. 4)";VIA;LOMBROSO CESARE;54;3334;4;;;;
Stab.baln. e impianti sportivi;;VIA DEI CICLAMINI N. 23 (z.d. 6);VIA;DEI CICLAMINI;23;6693;6;;;;
Stab.baln. e impianti sportivi;;"VIA SANZIO RAFFAELLO N. 39 s.siro club srl american count; (z.d. 7)";VIA;SANZIO RAFFAELLO;39;6283;7;;;;
"Stab.baln. e impianti sportivi;Ristorante, trattoria, osteria;BAR CAFF� E SIMILI;Ristorante;BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Tavola fredda";;"PZA CAVOUR N. 2 c/o centro sportivo down town;pza cavour 002; isolato:468; accesso: accesso interno; (z.d. 1)";PZA;CAVOUR;2;237;1;solo somministrazione;somministrazione;misto;150
Tav.calde,self service,fast f.;;"codvia 9401 ff central; (z.d. 2)";VIA;BOIARDO MATTEO MARIA;1;2323;2;;;;158
Tav.calde,self service,fast f.;;"PZA LEONARDO DA VINCI N. 32 c/o politecnico di milano; (z.d. 3)";PZA;LEONARDO DA VINCI;32;2208;3;;;;240
Tav.calde,self service,fast f.;pomellato spa;"VIA NEERA ANNA N. 37 c/o pomellato; (z.d. 5)";VIA;NEERA ANNA;37;5326;5;solo somministrazione;;;
"Tav.calde,self service,fast f.;BAR CAFF�";;"codvia 4384 num.007  c/o sky italia; (z.d. 4)";VIA;FARINI CARLO;53;1114;9;;;;40
"Tav.calde,self service,fast f.;BAR CAFF�";sky italia spa;"codvia 4384 num.007  c/o sky italia; (z.d. 4)";VIA;PIO II;3;6832;7;;;;
"Tav.calde,self service,fast f.;BAR CAFF� E SIMILI";;"CSO BUENOS AIRES N. 21 interno upim; (z.d. 3)";CSO;BUENOS AIRES;21;2129;3;;;;64
"Tav.calde,self service,fast f.;BAR CAFF�;Genere Merceol.Autorizz.Sanit.;BAR CAFF� E SIMILI;Tavola fredda;Pizzeria;Mensa";campus politecnico bovisa;"VIA LA MASA GIUSEPPE N. 34 c/o campus bovisa politecnico; isolato:021; accesso: accesso interno; (z.d. 9)";VIA;LA MASA GIUSEPPE;34;7286;9;solo somministrazione;somministrazione;self service;538
"Tav.calde,self service,fast f.;BAR CAFF�;Mensa";mensa eds electronic data;"VIA MEDICI DEL VASCELLO GIACOMO N. 26 c/o eds italia s.p.a.; isolato:036; accesso: accesso interno; (z.d. 4)";VIA;MEDICI DEL VASCELLO GIACOMO;26;3377;4;solo somministrazione;somministrazione;self service;158
"Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.;Cibi cotti;BAR CAFF�";;"VIA COLLETTA PIETRO num.000 angolo viale umbria c/o centro; accesso: accesso interno; (z.d. 4)";VIA;COLLETTA PIETRO;;4078;4;solo somministrazione;somministrazione;al banco;58
"Tav.calde,self service,fast f.;Mensa";;"VIA CARNIA N. 14 c/o fondazione la vincenziana; isolato:058; (z.d. 3)";VIA;CARNIA;14;2395;3;;;;159
"Tav.calde,self service,fast f.;Mensa";;"VIA COLICO N. 21 c/o mediapason s.p.a.; (z.d. 9)";VIA;COLICO;21;1240;9;;;;
"Tav.calde,self service,fast f.;Mensa";;"VIA STATUTO N. 4 ; isolato:174; (z.d. 1)";VIA;STATUTO;4;1029;1;;;;179
"Tav.calde,self service,fast f.;Mensa";amsa spa;"VIA SILLA LUCIO CORNELIO N. 253 c/o a.m.s.a.; isolato:023; accesso: accesso interno; (z.d. 7)";VIA;SILLA LUCIO CORNELIO;253;6732;7;solo somministrazione;somministrazione;self service;759
"Tav.calde,self service,fast f.;Mensa";c/o citroen italia spa.;"VIA GATTAMELATA N. 41 c/o citroen italia s.p.a.; isolato:328; accesso: accesso interno; (z.d. 8)";VIA;GATTAMELATA;41;7156;8;solo somministrazione;somministrazione;al banco;231
"Tav.calde,self service,fast f.;Mensa";c/o presidio villa marell;"VLE ZARA N. 81 c/o presidio villa marelli; isolato:083; accesso: accesso interno; (z.d. 9)";VLE;ZARA;81;1170;9;solo somministrazione;somministrazione;self service;83
"Tav.calde,self service,fast f.;Mensa";c/o rcs quotidiani spa.;"VIA SOLFERINO N. 28 c/o rcs quotidiani s.p.a.; isolato:176; accesso: accesso interno; (z.d. 1)";VIA;SOLFERINO;28;1028;1;solo somministrazione;somministrazione;self service;236
"Tav.calde,self service,fast f.;Mensa";c/o recordati spa;"VIA CIVITALI MATTEO N. 1 c/o recordati spa; isolato:282; (z.d. 7)";VIA;CIVITALI MATTEO;1;6569;7;;;;230
"Tav.calde,self service,fast f.;Mensa";c/o tecnimont spa.;"VLE MONTE GRAPPA N. 3 c/o tecnimont s.p.a.; isolato:325; accesso: accesso interno; (z.d. 1)";VLE;MONTE GRAPPA;3;1101;1;solo somministrazione;somministrazione;self service;270
"Tav.calde,self service,fast f.;Mensa";c/o wind telecomunicazion;"VIA LORENTEGGIO N. 257 c/o wind telecomunicazioni spa; isolato:127; accesso: accesso interno; (z.d. 6)";VIA;LORENTEGGIO;257;5132;6;solo somministrazione;somministrazione;self service;1261
"Tav.calde,self service,fast f.;Mensa";fondazione don c.gnocchi;"VIA PARAVIA PIER ALESSANDRO N. 71 c/o fondaz. don carlo gnocchi; isolato:241; accesso: accesso interno; (z.d. 7)";VIA;PARAVIA PIER ALESSANDRO;71;6571;7;solo somministrazione;somministrazione;self service;51
"Tav.calde,self service,fast f.;Mensa";il sole 24 ore spa;"VIA PATECCHIO GIRARDO N. 2 c/o il sole 24 ore; isolato:191; (z.d. 5)";VIA;PATECCHIO GIRARDO;2;4243;5;;;;192
"Tav.calde,self service,fast f.;Mensa";int.amplifon spa.;"VIA RIPAMONTI GIUSEPPE N. 131 c/o amplifon s.p.a.; isolato:104; accesso: accesso interno; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;131;4066;5;solo somministrazione;somministrazione;self service;407
"Tav.calde,self service,fast f.;Mensa";int. buzzi;"VIA CASTELVETRO LODOVICO N. 32 c/o istit. clinici di perfezio; isolato:033; accesso: accesso interno; (z.d. 8)";VIA;CASTELVETRO LODOVICO;32;7195;8;solo somministrazione;somministrazione;self service;193
"Tav.calde,self service,fast f.;Mensa";int.istituto naz.tumori;"VIA VENEZIAN GIACOMO N. 1 c/o istituto nazionale dei tum; isolato:122; accesso: accesso interno; (z.d. 3)";VIA;VENEZIAN GIACOMO;1;2227;3;solo somministrazione;somministrazione;self service;390
"Tav.calde,self service,fast f.;Mensa";int.mangiagalli;"VIA DELLA COMMENDA N. 12 c/o ospedale luigi mangiagalli; isolato:115; accesso: accesso interno; (z.d. 1)";VIA;DELLA COMMENDA;12;3146;1;solo somministrazione;somministrazione;self service;401
"Tav.calde,self service,fast f.;Mensa";int. passoni  E  villa;"VLE SUZZANI GIOVANNI N. 229 c/o areva t&d italy spa; isolato:021; accesso: accesso interno; (z.d. 9)";VLE;SUZZANI GIOVANNI;229;1446;9;solo somministrazione;somministrazione;self service;125
"Tav.calde,self service,fast f.;Mensa";ippodromo galoppo s.siro;"VLE CAPRILLI FEDERICO N. 30 c/o ippodromo del galoppo san; isolato:175; accesso: accesso interno; (z.d. 7)";VLE;CAPRILLI FEDERICO;30;6532;7;solo somministrazione;somministrazione;al banco;20
"Tav.calde,self service,fast f.;Mensa";ist. ortop. gaetano pini;"VLE MONZA N. 223 c/o istit. ortop. gaetano pini; isolato:100; (z.d. 2)";VLE;MONZA;223;2274;2;;;;80
"Tav.calde,self service,fast f.;Mensa";mensa c/o banca popolare;"VIA MASSAUA N. 2 ; isolato:021; accesso: accesso esterno; (z.d. 7)";VIA;MASSAUA;2;6274;7;solo somministrazione;somministrazione;al banco;1119
"Tav.calde,self service,fast f.;Mensa";mensa c/o regione lombard;"VIA FILZI FABIO N. 29 c/o consiglio della regione lo; isolato:246; accesso: accesso interno; (z.d. 2)";VIA;FILZI FABIO;29;1190;2;solo somministrazione;somministrazione;self service;250
"Tav.calde,self service,fast f.;Mensa";mensa int.edison spa.;"FOR BUONAPARTE N. 31 c/o edison s.p.a.;for buonaparte 031; isolato:291; accesso: accesso interno; (z.d. 1)";FOR;BUONAPARTE;31;711;1;solo somministrazione;somministrazione;self service;444
"Tav.calde,self service,fast f.;Mensa";suore angeliche s. paolo;"VIA BUONARROTI MICHELANGELO N. 49 c/o istituto suore angeliche; isolato:163; accesso: accesso interno; (z.d. 8)";VIA;BUONARROTI MICHELANGELO;49;6253;8;solo somministrazione;somministrazione;self service;199
"Tav.calde,self service,fast f.;Mensa;BAR CAFF� E SIMILI";mensa;"VIA MECENATE N. 91 c/o rcs editori s.p.a.; isolato:083; accesso: accesso interno; (z.d. 4)";VIA;MECENATE;91;3323;4;solo somministrazione;somministrazione;self service;985
"Tav.calde,self service,fast f.;Mensa;Tav.calde,self service,fast f.";c/o siemens servizi azien;"VLE PIRELLI PIERO E ALBERTO N. 10 c/o siemens s.p.a.; isolato:162; accesso: accesso interno; (z.d. 9)";VLE;PIRELLI PIERO E ALBERTO;10;1727;9;solo somministrazione;somministrazione;self service;1086
Tavola calda;;"VIA CARDUCCI GIOSUE' N. 40 ;via carducci giosue' 040; isolato:225; accesso: accesso interno; (z.d. 1)";VIA;CARDUCCI GIOSUE';40;602;1;solo somministrazione;somministrazione;self service;452
Tavola calda;;VIA PARENZO N. 7 (z.d. 6);VIA;PARENZO;7;5367;6;;;;44
"Tavola calda;BAR CAFF�";;"VIA ALDINI ANTONIO N. 77 c/o campo calcio sempione nord; isolato:113; accesso: accesso esterno; (z.d. 8)";VIA;ALDINI ANTONIO;77;7461;8;solo somministrazione;somministrazione;al banco;60
